Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"The epidemic of Athens, 430-426 BC.","/pubmed/9539938","Retief FP, Cilliers L.","S Afr Med J. 1998 Jan;88(1):50-3.","S Afr Med J.  1998","PubMed","citation","PMID:9539938","pubmed","9539938","create date:1998/04/16 | first author:Retief FP",
"Susceptibility of selected strains of Australian mosquitoes (Diptera: Culicidae) to Rift Valley fever virus.","/pubmed/9538572","Turell MJ, Kay BH.","J Med Entomol. 1998 Mar;35(2):132-5.","J Med Entomol.  1998","PubMed","citation","PMID:9538572","pubmed","9538572","create date:1998/04/16 | first author:Turell MJ",
"Mapping of the mutations present in the genome of the Rift Valley fever virus attenuated MP12 strain and their putative role in attenuation.","/pubmed/9453143","Vialat P, Muller R, Vu TH, Prehaud C, Bouloy M.","Virus Res. 1997 Nov;52(1):43-50.","Virus Res.  1997","PubMed","citation","PMID:9453143","pubmed","9453143","create date:1998/02/07 | first author:Vialat P",
"Rift Valley fever virus: a seroepidemiologic study of small terrestrial vertebrates in South Africa.","/pubmed/9430529","Pretorius A, Oelofsen MJ, Smith MS, van der Ryst E.","Am J Trop Med Hyg. 1997 Dec;57(6):693-8.","Am J Trop Med Hyg.  1997","PubMed","citation","PMID:9430529","pubmed","9430529","create date:1998/01/16 | first author:Pretorius A",
"Variability of the NS(S) protein among Rift Valley fever virus isolates.","/pubmed/9367372","Sall AA, de A Zanotto PM, Zeller HG, Digoutte JP, Thiongane Y, Bouloy M.","J Gen Virol. 1997 Nov;78 ( Pt 11):2853-8.","J Gen Virol.  1997","PubMed","citation","PMID:9367372","pubmed","9367372","create date:1997/11/21 | first author:Sall AA",
"Safety of a mutagen-attenuated Rift Valley fever virus vaccine in fetal and neonatal bovids.","/pubmed/9328663","Morrill JC, Mebus CA, Peters CJ.","Am J Vet Res. 1997 Oct;58(10):1110-4.","Am J Vet Res.  1997","PubMed","citation","PMID:9328663","pubmed","9328663","create date:1997/11/05 | first author:Morrill JC",
"Safety and efficacy of a mutagen-attenuated Rift Valley fever virus vaccine in cattle.","/pubmed/9328662","Morrill JC, Mebus CA, Peters CJ.","Am J Vet Res. 1997 Oct;58(10):1104-9.","Am J Vet Res.  1997","PubMed","citation","PMID:9328662","pubmed","9328662","create date:1997/11/05 | first author:Morrill JC",
"Completion of molecular characterization of Toscana phlebovirus genome: nucleotide sequence, coding strategy of M genomic segment and its amino acid sequence comparison to other phleboviruses.","/pubmed/9381797","Grò MC, Di Bonito P, Fortini D, Mochi S, Giorgi C.","Virus Res. 1997 Sep;51(1):81-91.","Virus Res.  1997","PubMed","citation","PMID:9381797","pubmed","9381797","create date:1997/10/23 | first author:Grò MC",
"Cladistic analysis of Tospovirus using molecular characters.","/pubmed/9242593","Dewey RA, Semorile LC, Grau O, Crisci JV.","Mol Phylogenet Evol. 1997 Aug;8(1):11-32.","Mol Phylogenet Evol.  1997","PubMed","citation","PMID:9242593","pubmed","9242593","create date:1997/08/01 | first author:Dewey RA",
"Antibodies against some viruses of domestic animals in southern African wild animals.","/pubmed/9352558","Barnard BJ.","Onderstepoort J Vet Res. 1997 Jun;64(2):95-110. Erratum in: Onderstepoort J Vet Res 1998 Sep;65(3):101-3. ","Onderstepoort J Vet Res.  1997","PubMed","citation","PMID:9352558","pubmed","9352558","create date:1997/06/01 | first author:Barnard BJ",
"Rift valley fever retinopathy: Observations in a new outbreak.","/pubmed/17369748","Elwan MS, Sharaf MH, Gameel K, El-Hadi E, Arthur RR.","Ann Saudi Med. 1997 May;17(3):377-80. No abstract available. ","Ann Saudi Med.  1997","PubMed","citation","PMID:17369748","pubmed","17369748","create date:1997/05/01 | first author:Elwan MS",
"Application of an immunoperoxidase monolayer assay for the detection of arboviral antibodies.","/pubmed/9186937","Soliman AK, Watts DM, Salib AW, Shehata AE, Arthur RR, Botros BA.","J Virol Methods. 1997 May;65(2):147-51.","J Virol Methods.  1997","PubMed","citation","PMID:9186937","pubmed","9186937","create date:1997/05/01 | first author:Soliman AK",
"Distribution of Rift Valley fever among cattle in Zambia.","/pubmed/9559442","Samui KL, Inoue S, Mweene AS, Nambota AM, Mlangwa JE, Chilonda P, Onuma M, Morita C.","Jpn J Med Sci Biol. 1997 Apr;50(2):73-7.","Jpn J Med Sci Biol.  1997","PubMed","citation","PMID:9559442","pubmed","9559442","create date:1997/04/01 | first author:Samui KL",
"Enzootic activity of Rift Valley fever virus in Senegal.","/pubmed/9129528","Zeller HG, Fontenille D, Traore-Lamizana M, Thiongane Y, Digoutte JP.","Am J Trop Med Hyg. 1997 Mar;56(3):265-72.","Am J Trop Med Hyg.  1997","PubMed","citation","PMID:9129528","pubmed","9129528","create date:1997/03/01 | first author:Zeller HG",
"Detection of Rift Valley fever virus in mosquitoes by RT-PCR.","/pubmed/9076714","Ibrahim MS, Turell MJ, Knauert FK, Lofts RS.","Mol Cell Probes. 1997 Feb;11(1):49-53.","Mol Cell Probes.  1997","PubMed","citation","PMID:9076714","pubmed","9076714","create date:1997/02/01 | first author:Ibrahim MS",
"Analysis of the 3' terminal sequence recognized by the Rift Valley fever virus transcription complex in its ambisense S segment.","/pubmed/9007072","Prehaud C, Lopez N, Blok MJ, Obry V, Bouloy M.","Virology. 1997 Jan 6;227(1):189-97.","Virology.  1997","PubMed","citation","PMID:9007072","pubmed","9007072","create date:1997/01/06 | first author:Prehaud C",
"[Viral hemorrhagic fevers: what is the risk for travelers?].","/pubmed/9612763","Le Guenno B.","Med Trop (Mars). 1997;57(4 Bis):511-3. Review. French. ","Med Trop (Mars).  1997","PubMed","citation","PMID:9612763","pubmed","9612763","create date:1997/01/01 | first author:Le Guenno B",
"[Current status of Rift Valley fever. What lessons to deduce from the epidemics of 1977 and 1987?].","/pubmed/9513180","Lefevre PC.","Med Trop (Mars). 1997;57(3 Suppl):61-4. French. ","Med Trop (Mars).  1997","PubMed","citation","PMID:9513180","pubmed","9513180","create date:1997/01/01 | first author:Lefevre PC",
"Distribution of viral antigen in tissues of new-born lambs infected with Rift Valley fever virus.","/pubmed/9173366","Van der Lugt JJ, Coetzer JA, Smit MM.","Onderstepoort J Vet Res. 1996 Dec;63(4):341-7.","Onderstepoort J Vet Res.  1996","PubMed","citation","PMID:9173366","pubmed","9173366","create date:1996/12/01 | first author:Van der Lugt JJ",
"Persistent infection of mammalian cells by Rift Valley fever virus.","/pubmed/9000097","Billecocq A, Vialat P, Bouloy M.","J Gen Virol. 1996 Dec;77 ( Pt 12):3053-62.","J Gen Virol.  1996","PubMed","citation","PMID:9000097","pubmed","9000097","create date:1996/12/01 | first author:Billecocq A",
"The threat of emerging infections.","/pubmed/12349257","[No authors listed]","Glob Issues. 1996 Nov;1(17):31-4.","Glob Issues.  1996","PubMed","citation","PMID:12349257","pubmed","12349257","create date:1996/11/01",
"Facilitation of Rift Valley fever virus transmission by Plasmodium berghei sporozoites in Anopheles stephensi mosquitoes.","/pubmed/8916797","Vaughan JA, Turell MJ.","Am J Trop Med Hyg. 1996 Oct;55(4):407-9.","Am J Trop Med Hyg.  1996","PubMed","citation","PMID:8916797","pubmed","8916797","create date:1996/10/01 | first author:Vaughan JA",
"Rift Valley fever in Nigeria: infections in domestic animals.","/pubmed/9025143","Olaleye OD, Tomori O, Schmitz H.","Rev Sci Tech. 1996 Sep;15(3):937-46.","Rev Sci Tech.  1996","PubMed","citation","PMID:9025143","pubmed","9025143","create date:1996/09/01 | first author:Olaleye OD",
"Rift Valley fever in Nigeria: infections in humans.","/pubmed/9025142","Olaleye OD, Tomori O, Ladipo MA, Schmitz H.","Rev Sci Tech. 1996 Sep;15(3):923-35.","Rev Sci Tech.  1996","PubMed","citation","PMID:9025142","pubmed","9025142","create date:1996/09/01 | first author:Olaleye OD",
"Viral diseases of livestock in Zambia.","/pubmed/8870389","Mweene AS, Pandey GS, Sinyangwe P, Nambota A, Samui K, Kida H.","Jpn J Vet Res. 1996 Aug;44(2):89-105. Review.","Jpn J Vet Res.  1996","PubMed","citation","PMID:8870389","pubmed","8870389","create date:1996/08/01 | first author:Mweene AS",
"Serum antibody to Rift Valley fever virus in African carnivores.","/pubmed/8784515","House C, Alexander KA, Kat PW, O'Brien SJ, Mangiafico J.","Ann N Y Acad Sci. 1996 Jul 23;791:345-9. No abstract available. ","Ann N Y Acad Sci.  1996","PubMed","citation","PMID:8784515","pubmed","8784515","create date:1996/07/23 | first author:House C",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Antiviral activities of tragacanthin polysaccharides on Punta Toro virus infections in mice.","/pubmed/8804797","Smee DF, Sidwell RW, Huffman JH, Huggins JW, Kende M, Verbiscar AJ.","Chemotherapy. 1996 Jul-Aug;42(4):286-93.","Chemotherapy.  1996","PubMed","citation","PMID:8804797","pubmed","8804797","create date:1996/07/01 | first author:Smee DF",
"Emerging viral infections with special reference to India.","/pubmed/8935739","Banerjee K.","Indian J Med Res. 1996 Apr;103:177-200. Review.","Indian J Med Res.  1996","PubMed","citation","PMID:8935739","pubmed","8935739","create date:1996/04/01 | first author:Banerjee K",
"[Arbovirus circulation in the Republic of Guinea].","/pubmed/8926934","Butenko AM.","Med Parazitol (Mosk). 1996 Apr-Jun;(2):40-5. Russian. ","Med Parazitol (Mosk).  1996","PubMed","citation","PMID:8926934","pubmed","8926934","create date:1996/04/01 | first author:Butenko AM",
"Vector competence of Egyptian mosquitoes for Rift Valley fever virus.","/pubmed/8619436","Turell MJ, Presley SM, Gad AM, Cope SE, Dohm DJ, Morrill JC, Arthur RR.","Am J Trop Med Hyg. 1996 Feb;54(2):136-9.","Am J Trop Med Hyg.  1996","PubMed","citation","PMID:8619436","pubmed","8619436","create date:1996/02/01 | first author:Turell MJ",
"Inhibition of bunyaviruses, phleboviruses, and hantaviruses by human MxA protein.","/pubmed/8551631","Frese M, Kochs G, Feldmann H, Hertkorn C, Haller O.","J Virol. 1996 Feb;70(2):915-23.","J Virol.  1996","PubMed","citation","PMID:8551631 | PMCID:PMC189895","pubmed","8551631","create date:1996/02/01 | first author:Frese M",
"[Recent data on Rift Valley Fever epidemiology in Senegal].","/pubmed/14520977","Thiongane Y, Thonnon J, Zeller H, Lo MM, Faty A, Diagne F, Gonzalez J, Akakpo JA, Fontenille D, Digoutte JP.","Dakar Med. 1996;Spec No:1-6. French.  No abstract available. ","Dakar Med.  1996","PubMed","citation","PMID:14520977","pubmed","14520977","create date:1996/01/01 | first author:Thiongane Y",
"[Serologic screening of certain zoonoses in the abattoir personnel in Djibouti].","/pubmed/9264737","Chantal J, Bessière MH, Le Guenno B, Magnaval JF, Dorchies P.","Bull Soc Pathol Exot. 1996;89(5):353-7. French. ","Bull Soc Pathol Exot.  1996","PubMed","citation","PMID:9264737","pubmed","9264737","create date:1996/01/01 | first author:Chantal J",
"Viral hemorrhagic fevers.","/pubmed/9033974","Lacy MD, Smego RA.","Adv Pediatr Infect Dis. 1996;12:21-53. Review. No abstract available. ","Adv Pediatr Infect Dis.  1996","PubMed","citation","PMID:9033974","pubmed","9033974","create date:1996/01/01 | first author:Lacy MD",
"Experimental infection of three Nigerian breeds of sheep with the Zinga strain of the Rift Valley Fever virus.","/pubmed/8881413","Olaleye OD, Tomori O, Fajimi JL, Schmitz H.","Rev Elev Med Vet Pays Trop. 1996;49(1):6-16.","Rev Elev Med Vet Pays Trop.  1996","PubMed","citation","PMID:8881413","pubmed","8881413","create date:1996/01/01 | first author:Olaleye OD",
"Imported vector- and rodent-borne virus infections--an introduction.","/pubmed/8800802","Schwarz TF.","Arch Virol Suppl. 1996;11:3-11. Review.","Arch Virol Suppl.  1996","PubMed","citation","PMID:8800802","pubmed","8800802","create date:1996/01/01 | first author:Schwarz TF",
"Seroprevalence of five arboviruses in Zebu cattle in the Central African Republic.","/pubmed/8730305","Guilherme JM, Gonella-Legall C, Legall F, Nakoume E, Vincent J.","Trans R Soc Trop Med Hyg. 1996 Jan-Feb;90(1):31-3.","Trans R Soc Trop Med Hyg.  1996","PubMed","citation","PMID:8730305","pubmed","8730305","create date:1996/01/01 | first author:Guilherme JM",
"Prevalence of anti-Rift-Valley-fever IgM antibody in abattoir workers in the Nile delta during the 1993 outbreak in Egypt.","/pubmed/8706230","Abu-Elyazeed R, el-Sharkawy S, Olson J, Botros B, Soliman A, Salib A, Cummings C, Arthur R.","Bull World Health Organ. 1996;74(2):155-8.","Bull World Health Organ.  1996","PubMed","citation","PMID:8706230 | PMCID:PMC2486897","pubmed","8706230","create date:1996/01/01 | first author:Abu-Elyazeed R",
"Assessment of arthropod vectors of infectious diseases in areas of U.S. troop deployment in the Persian Gulf.","/pubmed/8651369","Cope SE, Schultz GW, Richards AL, Savage HM, Smith GC, Mitchell CJ, Fryauff DJ, Conlon JM, Corneil JA, Hyams KC.","Am J Trop Med Hyg. 1996 Jan;54(1):49-53.","Am J Trop Med Hyg.  1996","PubMed","citation","PMID:8651369","pubmed","8651369","create date:1996/01/01 | first author:Cope SE",
"Yellow fever: an emerging threat for Kenya and other east African countries.","/pubmed/8625854","Sanders EJ, Tukei PM.","East Afr Med J. 1996 Jan;73(1):10-2. Review.","East Afr Med J.  1996","PubMed","citation","PMID:8625854","pubmed","8625854","create date:1996/01/01 | first author:Sanders EJ",
"Workshop on the geographic spread of Aedes albopictus in Europe and the concern among public health authorities. Proceedings of a workshop held at the Istituto Superiore di Sanità, Rome, Italy, 19-20 December 1994.","/pubmed/8778669","[No authors listed]","Parassitologia. 1995 Dec;37(2-3):87-90. No abstract available. ","Parassitologia.  1995","PubMed","citation","PMID:8778669","pubmed","8778669","create date:1995/12/01",
"Aedes albopictus: a potential problem in France.","/pubmed/8778652","Rodhain F.","Parassitologia. 1995 Dec;37(2-3):115-9. Review.","Parassitologia.  1995","PubMed","citation","PMID:8778652","pubmed","8778652","create date:1995/12/01 | first author:Rodhain F",
"The use of sucrose-acetone-extracted Rift Valley fever virus antigen derived from cell culture in an indirect enzyme-linked immunosorbent assay and haemagglutination-inhibition test.","/pubmed/8668320","Paweska JT, Barnard BJ, Williams R.","Onderstepoort J Vet Res. 1995 Dec;62(4):227-33.","Onderstepoort J Vet Res.  1995","PubMed","citation","PMID:8668320","pubmed","8668320","create date:1995/12/01 | first author:Paweska JT",
"Quarantine requirements for the importation of black rhinoceros from Zimbabwe into Australia.","/pubmed/8599567","Doyle KA, Robinson BA, Wilson DW.","Aust Vet J. 1995 Oct;72(10):364-8. Review.","Aust Vet J.  1995","PubMed","citation","PMID:8599567","pubmed","8599567","create date:1995/10/01 | first author:Doyle KA",
"Physical activity, illness and nutritional status among adults in a rural Ethiopian community.","/pubmed/8557456","Alemu T, Lindtjørn B.","Int J Epidemiol. 1995 Oct;24(5):977-83.","Int J Epidemiol.  1995","PubMed","citation","PMID:8557456","pubmed","8557456","create date:1995/10/01 | first author:Alemu T",
"Characterization of clone 13, a naturally attenuated avirulent isolate of Rift Valley fever virus, which is altered in the small segment.","/pubmed/7485695","Muller R, Saluzzo JF, Lopez N, Dreier T, Turell M, Smith J, Bouloy M.","Am J Trop Med Hyg. 1995 Oct;53(4):405-11.","Am J Trop Med Hyg.  1995","PubMed","citation","PMID:7485695","pubmed","7485695","create date:1995/10/01 | first author:Muller R",
"Rift Valley fever virus in the cardia of Culex pipiens: an immunocytochemical and ultrastructural study.","/pubmed/7485683","Lerdthusnee K, Romoser WS, Faran ME, Dohm DJ.","Am J Trop Med Hyg. 1995 Oct;53(4):331-7.","Am J Trop Med Hyg.  1995","PubMed","citation","PMID:7485683","pubmed","7485683","create date:1995/10/01 | first author:Lerdthusnee K",
"Antibodies to hemorrhagic fever viruses in domestic livestock in Niger: Rift Valley fever and Crimean-Congo hemorrhagic fever.","/pubmed/7573699","Mariner JC, Morrill J, Ksiazek TG.","Am J Trop Med Hyg. 1995 Sep;53(3):217-21.","Am J Trop Med Hyg.  1995","PubMed","citation","PMID:7573699","pubmed","7573699","create date:1995/09/01 | first author:Mariner JC",
"Host-feeding patterns of Culex pipiens and Cx. antennatus (Diptera: Culicidae) from a village in Sharqiya Governorate, Egypt.","/pubmed/7473609","Gad AM, Riad IB, Farid HA.","J Med Entomol. 1995 Sep;32(5):573-7.","J Med Entomol.  1995","PubMed","citation","PMID:7473609","pubmed","7473609","create date:1995/09/01 | first author:Gad AM",
"Characterization of the non-specific humoral and cellular antiviral immunity stimulated by the chloroform-methanol residue (CMR) fraction of Coxiella burnetii.","/pubmed/8540758","Zvilich M, Williams JC, Waag D, Rill WR, Malli RJ, Bell P, Kende M.","Antiviral Res. 1995 Aug;27(4):389-404.","Antiviral Res.  1995","PubMed","citation","PMID:8540758","pubmed","8540758","create date:1995/08/01 | first author:Zvilich M",
"The L protein of Rift Valley fever virus can rescue viral ribonucleoproteins and transcribe synthetic genome-like RNA molecules.","/pubmed/7769655","Lopez N, Muller R, Prehaud C, Bouloy M.","J Virol. 1995 Jul;69(7):3972-9.","J Virol.  1995","PubMed","citation","PMID:7769655 | PMCID:PMC189128","pubmed","7769655","create date:1995/07/01 | first author:Lopez N",
